"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 18 17:01:14 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","313","api","api/doctors/doctors.spec.ts","API — Doctors","","","get non-existent doctor returns 404",""
"passed","Wed Mar 18 17:01:14 UTC 2026","Wed Mar 18 17:01:15 UTC 2026","318","api","api/users/users.spec.ts","API — Users","","","GET /users requires admin → patient gets 403",""
"passed","Wed Mar 18 17:01:43 UTC 2026","Wed Mar 18 17:01:54 UTC 2026","10305","webkit","ui/admin/admin.spec.ts","UI — Admin: User Management","","","admin can deactivate a user",""
"passed","Wed Mar 18 17:01:11 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","1913","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","get another patient appointment returns 403",""
"passed","Wed Mar 18 17:01:41 UTC 2026","Wed Mar 18 17:01:42 UTC 2026","1393","chromium","ui/doctors/doctors.spec.ts","UI — Doctors","","","view available slots modal opens",""
"passed","Wed Mar 18 17:01:55 UTC 2026","Wed Mar 18 17:02:03 UTC 2026","7474","webkit","ui/auth/login.spec.ts","UI — Auth: Logout","","","logout clears token and redirects to login",""
"passed","Wed Mar 18 17:01:18 UTC 2026","Wed Mar 18 17:01:23 UTC 2026","5298","firefox","ui/auth/login.spec.ts","UI — Auth: Login","","","register link is visible on login page",""
"passed","Wed Mar 18 17:01:28 UTC 2026","Wed Mar 18 17:01:33 UTC 2026","4711","firefox","ui/admin/admin.spec.ts","UI — Admin: User Management","","","@smoke admin panel loads user list",""
"passed","Wed Mar 18 17:01:14 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","620","api","api/doctors/doctors.spec.ts","API — Doctors","","","get slots for doctor returns array",""
"passed","Wed Mar 18 17:01:54 UTC 2026","Wed Mar 18 17:01:58 UTC 2026","4657","webkit","ui/appointments/manage.spec.ts","UI — Appointments: Doctor actions","","","doctor can confirm a pending appointment",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","340","api","api/auth/register.spec.ts","API — Auth: Register","","","@smoke register returns 201 and correct schema",""
"passed","Wed Mar 18 17:01:47 UTC 2026","Wed Mar 18 17:01:49 UTC 2026","1572","chromium","ui/auth/login.spec.ts","UI — Auth: Login","","","invalid password shows error message",""
"passed","Wed Mar 18 17:01:47 UTC 2026","Wed Mar 18 17:01:48 UTC 2026","1212","chromium","ui/appointments/manage.spec.ts","UI — Appointments: Admin visibility","","","admin sees all appointments",""
"passed","Wed Mar 18 17:01:36 UTC 2026","Wed Mar 18 17:01:41 UTC 2026","4858","chromium","ui/auth/register.spec.ts","UI — Auth: Register","","","@smoke new patient can register and is redirected to dashboard",""
"passed","Wed Mar 18 17:01:25 UTC 2026","Wed Mar 18 17:01:27 UTC 2026","2347","firefox","ui/doctors/doctors.spec.ts","UI — Doctors","","","view available slots modal opens",""
"passed","Wed Mar 18 17:01:36 UTC 2026","Wed Mar 18 17:01:40 UTC 2026","4677","firefox","ui/appointments/manage.spec.ts","UI — Appointments: Doctor actions","","","doctor can confirm a pending appointment",""
"passed","Wed Mar 18 17:01:40 UTC 2026","Wed Mar 18 17:01:41 UTC 2026","1201","chromium","ui/doctors/doctors.spec.ts","UI — Doctors","","","@smoke doctor listing page loads with doctor cards",""
"passed","Wed Mar 18 17:01:36 UTC 2026","Wed Mar 18 17:01:40 UTC 2026","3883","chromium","ui/auth/login.spec.ts","UI — Auth: Login","","","non-existent email shows error message",""
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","700","api","api/appointments/status-machine.spec.ts","API — Appointments: Status Machine","","","double-booking same slot returns 409",""
"passed","Wed Mar 18 17:01:37 UTC 2026","Wed Mar 18 17:01:40 UTC 2026","3155","firefox","ui/auth/login.spec.ts","UI — Auth: Login","","","@smoke valid login redirects to dashboard",""
"passed","Wed Mar 18 17:01:18 UTC 2026","Wed Mar 18 17:01:25 UTC 2026","6773","firefox","ui/auth/login.spec.ts","UI — Auth: Login","","","non-existent email shows error message",""
"passed","Wed Mar 18 17:01:14 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","330","api","api/doctors/doctors.spec.ts","API — Doctors","","","doctor can update own profile",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","31","api","api/auth/register.spec.ts","API — Auth: Register","","","register with weak password (< 8 chars) returns 422",""
"passed","Wed Mar 18 17:01:28 UTC 2026","Wed Mar 18 17:01:37 UTC 2026","8846","firefox","ui/appointments/book.spec.ts","UI — Appointments: Booking","","","booking a past time slot shows error",""
"passed","Wed Mar 18 17:01:36 UTC 2026","Wed Mar 18 17:01:40 UTC 2026","3796","chromium","ui/auth/login.spec.ts","UI — Auth: Logout","","","logout clears token and redirects to login",""
"passed","Wed Mar 18 17:01:44 UTC 2026","Wed Mar 18 17:01:47 UTC 2026","2998","chromium","ui/appointments/book.spec.ts","UI — Appointments: Booking","","","@smoke patient can book a valid future appointment",""
"passed","Wed Mar 18 17:01:23 UTC 2026","Wed Mar 18 17:01:26 UTC 2026","2382","firefox","ui/doctors/doctors.spec.ts","UI — Doctors","","","@smoke doctor listing page loads with doctor cards",""
"passed","Wed Mar 18 17:01:18 UTC 2026","Wed Mar 18 17:01:23 UTC 2026","5184","firefox","ui/auth/register.spec.ts","UI — Auth: Register","","","@smoke new patient can register and is redirected to dashboard",""
"passed","Wed Mar 18 17:01:53 UTC 2026","Wed Mar 18 17:01:53 UTC 2026","456","setup","auth.setup.ts","","","","authenticate as patient",""
"passed","Wed Mar 18 17:01:44 UTC 2026","Wed Mar 18 17:01:45 UTC 2026","1630","chromium","ui/admin/admin.spec.ts","UI — Admin: User Management","","","@smoke admin panel loads user list",""
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:12 UTC 2026","339","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","list page beyond data returns empty array",""
"passed","Wed Mar 18 17:01:40 UTC 2026","Wed Mar 18 17:01:41 UTC 2026","1444","chromium","ui/auth/register.spec.ts","UI — Auth: Register","","","duplicate email registration shows error",""
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","681","api","api/appointments/status-machine.spec.ts","API — Appointments: Status Machine","","","pending → confirmed is valid transition (doctor)",""
"passed","Wed Mar 18 17:01:23 UTC 2026","Wed Mar 18 17:01:25 UTC 2026","2284","firefox","ui/auth/register.spec.ts","UI — Auth: Register","","","duplicate email registration shows error",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","611","api","api/auth/register.spec.ts","API — Auth: Login","","","login with wrong password returns 401",""
"passed","Wed Mar 18 17:01:11 UTC 2026","Wed Mar 18 17:01:12 UTC 2026","988","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","@smoke create appointment returns 201 with correct schema",""
"passed","Wed Mar 18 17:01:55 UTC 2026","Wed Mar 18 17:02:04 UTC 2026","8290","webkit","ui/auth/login.spec.ts","UI — Auth: Login","","","non-existent email shows error message",""
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","722","api","api/appointments/status-machine.spec.ts","API — Appointments: Status Machine","","","confirmed → pending is invalid transition returns 400",""
